Long,Lat,EB_Effort,EB_Count,Smoothed
-98.25,28.5,0,0,2.98E-08
-98,28.5,0,0,6.85E-08
-97.75,28.5,7.74,0,1.56E-07
-97.5,28.5,0,0,3.51E-07
-97.25,28.5,0.67,0,7.76E-07
-97,28.5,0,0,1.68E-06
-96.75,28.5,0,0,3.55E-06
-96.5,28.5,0.75,0,7.28E-06
-96.25,28.5,0,0,1.44E-05
-82.5,28.5,0.17,0,0.017063929
-82.25,28.5,25.32,0,0.021187369
-82,28.5,21.51,0,0.026280082
-81.75,28.5,9.08,0,0.032487486
-81.5,28.5,11.53,0,0.040018497
-81.25,28.5,238.95,58,0.049127561
-81,28.5,99.09,1,0.06014219
-98.25,28.75,0,0,5.22E-08
-98,28.75,1,0,1.25E-07
-97.75,28.75,0.27,0,2.94E-07
-97.5,28.75,8.16,0,6.82E-07
-97.25,28.75,0.66,0,1.55E-06
-97,28.75,21.54,0,3.44E-06
-96.75,28.75,0,0,7.37E-06
-96.5,28.75,0,0,1.52E-05
-96.25,28.75,1.25,0,3.02E-05
-96,28.75,3.75,0,5.68E-05
-95.75,28.75,0,0,0.000101778
-82.5,28.75,24.95,0,0.020287465
-82.25,28.75,16.96,0,0.025133782
-82,28.75,9.6,0,0.031014338
-81.75,28.75,71.18,0,0.038053599
-81.5,28.75,0,0,0.046402082
-81.25,28.75,189.48,0,0.056262192
-81,28.75,46.8,2,0.067918551
-98.25,29,0,0,9.53E-08
-98,29,5.62,0,2.38E-07
-97.75,29,17.5,0,5.86E-07
-97.5,29,5.42,0,1.41E-06
-97.25,29,0.58,0,3.30E-06
-97,29,0,0,7.48E-06
-96.75,29,1.34,0,1.63E-05
-96.5,29,10.64,0,3.38E-05
-96.25,29,1.5,0,6.67E-05
-96,29,21.66,0,0.000124311
-95.75,29,10.27,0,0.000218895
-95.5,29,150.02,0,0.000363734
-82.5,29,95.49,0,0.024633313
-82.25,29,11.71,0,0.030429006
-82,29,114.83,1,0.037318538
-81.75,29,12.53,0,0.045360402
-81.5,29,29.58,0,0.05462649
-81.25,29,31.27,0,0.065246083
-81,29,17.53,0,0.077455919
-98.25,29.25,0,0,1.79E-07
-98,29.25,15.58,0,4.75E-07
-97.75,29.25,0,0,1.22E-06
-97.5,29.25,0,0,3.07E-06
-97.25,29.25,0,0,7.41E-06
-97,29.25,0,0,1.71E-05
-96.75,29.25,1.66,0,3.77E-05
-96.5,29.25,0,0,7.84E-05
-96.25,29.25,4.16,0,0.000153551
-96,29.25,0,0,0.000282009
-95.75,29.25,8.5,0,0.000485605
-95.5,29.25,168.38,0,0.000785794
-95.25,29.25,199.79,0,0.001198408
-91,29.25,0,0,0.015871346
-90.75,29.25,1.33,0,0.016638614
-90.25,29.25,26.5,0,0.018143699
-89.25,29.25,22.22,0,0.019567544
-83,29.25,5.45,5,0.019692466
-82.75,29.25,0.41,0,0.024551412
-82.5,29.25,35.2,0,0.030454809
-82.25,29.25,27.96,0,0.037458723
-82,29.25,49.75,4,0.045564903
-81.75,29.25,135.56,0,0.054731105
-81.5,29.25,2.5,0,0.064926717
-81.25,29.25,3.37,5,0.076201679
-98.25,29.5,0,0,3.42E-07
-98,29.5,7.26,0,9.62E-07
-97.75,29.5,16.1,0,2.62E-06
-97.5,29.5,30.24,0,6.85E-06
-97.25,29.5,5.25,0,1.71E-05
-97,29.5,8.6,0,4.04E-05
-96.75,29.5,0.34,0,8.98E-05
-96.5,29.5,6,0,0.000186841
-96.25,29.5,7.47,0,0.000362164
-96,29.5,0,0,0.000653068
-95.75,29.5,38.94,0,0.001096398
-95.5,29.5,43.72,0,0.001720317
-95.25,29.5,132.12,0,0.002535187
-95,29.5,146.74,0,0.003529058
-91.25,29.5,0,0,0.023446565
-91,29.5,0,0,0.024689777
-90.75,29.5,2,0,0.025938343
-90.5,29.5,4.83,0,0.027176255
-90.25,29.5,6,0,0.028385265
-90,29.5,6.75,0,0.029482619
-89.75,29.5,20.17,0,0.030301347
-83.25,29.5,4.29,0,0.019765921
-83,29.5,18.77,2,0.024742313
-82.75,29.5,68.49,0,0.030859036
-82.5,29.5,63.59,0,0.038161449
-82.25,29.5,352.55,21,0.046609488
-82,29.5,12.78,0,0.056070493
-81.75,29.5,22.72,0,0.066367248
-81.5,29.5,0,0,0.077361276
-81.25,29.5,12.05,0,0.08904336
-98.25,29.75,0,0,6.43E-07
-98,29.75,30.17,0,1.93E-06
-97.75,29.75,4.75,0,5.58E-06
-97.5,29.75,15.25,0,1.53E-05
-97.25,29.75,0,0,3.96E-05
-97,29.75,4.92,0,9.58E-05
-96.75,29.75,1.06,0,0.000215061
-96.5,29.75,3.42,0,0.000446769
-96.25,29.75,161.75,0,0.00085634
-96,29.75,61.98,0,0.00151392
-95.75,29.75,121.81,2,0.002474304
-95.5,29.75,1161.85,0,0.003757122
-95.25,29.75,22.94,0,0.005335567
-95,29.75,180.76,0,0.0071422
-94.5,29.75,178.05,0,0.011075554
-94.25,29.75,59.63,0,0.013053187
-94,29.75,29.37,0,0.01498638
-92.75,29.75,48.66,0,0.024129549
-92.5,29.75,22.57,0,0.026055225
-92.25,29.75,18.88,0,0.028065594
-91.5,29.75,0,0,0.034273179
-91.25,29.75,12,0,0.036351641
-91,29.75,1,0,0.038485953
-90.75,29.75,36.24,0,0.040665932
-90.5,29.75,1.85,0,0.042850942
-90.25,29.75,1,0,0.044963855
-90,29.75,57.15,0,0.046816291
-89.75,29.75,9.5,0,0.048092702
-89.5,29.75,13,0,0.048548111
-85.25,29.75,2.93,0,0.007295921
-83.5,29.75,6.24,1,0.020161189
-83.25,29.75,4.05,0,0.025238356
-83,29.75,61.79,0,0.03158237
-82.75,29.75,11.5,0,0.039255852
-82.5,29.75,194.13,0,0.048196852
-82.25,29.75,0,0,0.058224265
-82,29.75,63.92,0,0.069023363
-81.75,29.75,6.66,0,0.080266659
-81.5,29.75,5.5,0,0.091739128
-81.25,29.75,89.37,16,0.103422479
-98.25,30,0,0,1.16E-06
-98,30,260.14,0,3.75E-06
-97.75,30,8.25,0,1.15E-05
-97.5,30,6.17,0,3.32E-05
-97.25,30,43.42,0,8.91E-05
-97,30,5.99,0,0.000220856
-96.75,30,3.75,0,0.000501922
-96.5,30,5.62,0,0.001042947
-96.25,30,1.69,0,0.001979039
-96,30,90.83,0,0.003433126
-95.75,30,0,0,0.005464507
-95.5,30,34.58,2,0.008030341
-95.25,30,122.91,4,0.010988178
-95,30,15.78,0,0.014135524
-94.75,30,40.21,0,0.01726877
-94.5,30,3.25,0,0.020239353
-94.25,30,55.55,0,0.022982139
-94,30,54.38,0,0.025495628
-93.75,30,14.83,0,0.027833626
-93.5,30,8.83,0,0.030059912
-93.25,30,3,0,0.032256124
-93,30,85.02,0,0.034510246
-92.75,30,36.43,0,0.036919052
-92.5,30,35.82,0,0.039550075
-92.25,30,85.17,0,0.042416018
-92,30,27.86,0,0.045503054
-91.75,30,5.99,0,0.04875368
-91.5,30,0,0,0.052156569
-91.25,30,21.66,0,0.055733984
-91,30,6.17,0,0.059498073
-90.75,30,0,0,0.063411592
-90.5,30,175.38,0,0.067368642
-90.25,30,92.06,0,0.071147531
-90,30,334.35,0,0.074320503
-89.5,30,0,0,0.076927078
-89.25,30,0,0,0.075767049
-85.5,30,7,0,0.009720412
-85.25,30,0,0,0.009532256
-85,30,0,0,0.009809482
-84.75,30,0,0,0.010614884
-84.5,30,0,0,0.012032447
-83.75,30,0,0,0.021072706
-83.5,30,0,0,0.026221527
-83.25,30,0,0,0.032759219
-83,30,7.35,0,0.040788398
-82.75,30,13.7,0,0.05027105
-82.5,30,5,0,0.060978216
-82.25,30,6.79,2,0.072518678
-82,30,40.38,1,0.084405084
-81.75,30,183.65,0,0.096168199
-81.5,30,15.24,6,0.107602015
-98.25,30.25,0,0,1.96E-06
-98,30.25,111.62,0,6.79E-06
-97.75,30.25,1533.38,0,2.22E-05
-97.5,30.25,61.95,0,6.75E-05
